,author,author_link,text,date,likes,comments,shares,theme
0,Sreenath Sreekumar,https://www.linkedin.com/in/sreenath-sreekumar-205380154?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACUS7SUBET2260QCDFZ2Exzy2rXRO-LMIpk,"🚀 We're Hiring: Solution Architect – ML & Advanced Analytics (Pega + CVM) 🚀Are you passionate about building impactful machine learning models and integrating them into real-time business workflows using Pega?Do you love working with cross-functional teams to drive data-powered customer engagement?Come join our ML & Advanced Analytics team! You'll be at the forefront of innovation, designing solutions that directly impact how we connect with and deliver value to our customers.🔍 What’s in it for you: ✅ Lead ML and CVM-focused architecture ✅ Work hands-on with Python, R, and cloud platforms ✅ Design decisioning workflows using Pega ✅ Collaborate with dynamic marketing & CX teams ✅ Influence real business outcomes with data📌 Apply Now if this sounds like you or tag someone who might be a perfect fit! 👇 Drop your profile or apply directly below. Let’s build smarter solutions together.hashtag#Hiring hashtag#SolutionArchitect hashtag#MachineLearning hashtag#Pega hashtag#AnalyticsJobs hashtag#CVM hashtag#DataScience hashtag#TechJobs hashtag#JobAlert hashtag#SolutionArchitect hashtag#MachineLearningJobs hashtag#DataScienceJobs hashtag#AnalyticsJobs hashtag#MLArchitect hashtag#TechHiring hashtag#AIJobs hashtag#AdvancedAnalytics hashtag#BigDataJobs hashtag#DataEngineering hashtag#HiringNow hashtag#WeAreHiring hashtag#NowHiring hashtag#Pega hashtag#PythonJobs hashtag#SQLJobs hashtag#RProgramming hashtag#MLModels hashtag#PredictiveAnalytics hashtag#CloudComputing hashtag#AWSJobs hashtag#AzureJobs hashtag#GCPJobs hashtag#MLOps hashtag#DataModeling hashtag#DataScienceTools hashtag#CustomerAnalytics hashtag#CustomerSegmentation hashtag#CVM hashtag#ChurnPrediction hashtag#TargetedMarketing hashtag#CustomerValueManagementhashtag#DataDrivenMarketing hashtag#Personalization hashtag#AIinMarketing hashtag#AIDrivenDecisions hashtag#MarketingAnalytics hashtag#BusinessAnalytics hashtag#Decisioning hashtag#ArtificialIntelligence hashtag#MachineLearning hashtag#SupervisedLearning hashtag#UnsupervisedLearning hashtag#TimeSeriesAnalysis hashtag#DataDriven hashtag#AIIntegration hashtag#AIForBusiness hashtag#MLInProduction hashtag#ModelDeployment hashtag#DataScienceInnovation hashtag#TechCareers hashtag#TelecomCareers hashtag#FinancialServicesJobs hashtag#ITJobs hashtag#DigitalTransformation hashtag#TechJobs hashtag#InnovationInTech hashtag#AnalyticsInTelecom hashtag#AnalyticsInBanking hashtag#EnterpriseSolutions",2 sem. ,7,0,1,DataScienceInnovation
1,Kashan Khan,https://www.linkedin.com/in/kashan-khan-6998892a5?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEmieJUB1zfhNhpQ-LwVvH2YPALNPPjLAD4,"⚡️Energy deregulation data Available☎ SSN Data Available🏥NEW MED ID  Data Available📊U65 Data Available💊MEDICAID DATA AVAILABLE 🏡 Homeowner Data Available📞 CDR PRIME Data Available👥 Camp Lejeune Data Available📞 Payday Loan Leads Available📱 Mass Torts Data Available🌐 Opt-in Data with Basic Information Available🔧 Jornaya Data for Medicare Available🔍 Email Data with Full Information Available📊 B2B and B2C Data Available🎧 CDR Data Available for Medicare, ACA, DME, Final Expense, and Auto Insurance – DNC-scrubbed with excellent connectivity and conversion rates.➡️ International Data Available for the UK, Canada, Australia, Germany, and New Zealand, including email leads.💬 PM for further information:Live: .cid.896eae3b4137e284hashtag#DataBrokerage hashtag#AnalyticsSolutions hashtag#medindustry hashtag#BusinessIntelligence hashtag#Medicare hashtag#MedicareAdvantage hashtag#InsuranceSolutions hashtag#AutoCoverage hashtag#FinalExpense hashtag#HealthcarePlans hashtag#ContinuousGlucoseMonitoring hashtag#OrthopedicBraces hashtag#Cardiology hashtag#LegalCases hashtag#CampLejeune hashtag#ShortTermLoans hashtag#ExpenseManagement hashtag#InsuranceClaims hashtag#PolicyManagement hashtag#InsuranceBrokerage hashtag#MarketIntelligence hashtag#LeadAcquisition hashtag#LeadServices hashtag#DataDrivenSolutions hashtag#ActionableInsights hashtag#DataOptimization hashtag#BigDataAnalytics hashtag#StrategicData hashtag#AIandML hashtag#InformationManagement hashtag#CyberSecurity hashtag#ConsultingServices hashtag#B2BMarketing hashtag#B2BSales hashtag#LeadAcquisitionB2B hashtag#B2CSolutions hashtag#BusinessGrowth hashtag#MarketResearchAnalysis hashtag#DataUnification hashtag#QualityData hashtag#DataVisualizationTools hashtag#ArtificialIntelligence hashtag#DataScienceInnovation hashtag#PrivacyCompliance hashtag#DataProtection hashtag#CloudDataSolutions hashtag#DatabaseManagement hashtag#DataCenterTechnologies hashtag#USAMarketData hashtag#NewYorkBusiness hashtag#DCAnalytics hashtag#EnergySectorData hashtag#CallCenterSolutions hashtag#PayInsights hashtag#USAMarketing hashtag#DataConnectivity hashtag#SalesStrategies hashtag#MarketExpansion hashtag#USAProductDevelopmen",2 sem. ,2,0,0,DataScienceInnovation
2,Sophie Robins,https://www.linkedin.com/in/sophie-robins-b7b86a118?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAB1Q0A8BljEmcPpnuf_6r7YckSlwqxv0jhQ,"🚀 Join INRIX as a Data Scientist! 🌟 We’re thrilled to announce an exciting opportunity for a talented Data Scientist to become part of our innovative team at INRIX! Based in our Altrincham office with hybrid working options, you'll play a key role in shaping the future of mobility data and insights.hashtag#LinearAlgebra hashtag#Statistics hashtag#ScientificComputing hashtag#PythonProgramming hashtag#MachineLearning hashtag#TechExpertise hashtag#DataScience hashtag#BigData hashtag#SQL hashtag#ApacheSpark hashtag#ModernML hashtag#AWS hashtag#DataVisualisation hashtag#TechnicalWriting hashtag#UnstructuredData hashtag#TrafficData hashtag#MobilityData hashtag#DataScienceInnovation hashtag#AdvancedAnalytics hashtag#FutureOfMobilityhttps://lnkd.in/eJEArRqS",2025-03-26 12:00:00,1,0,0,DataScienceInnovation
3,Gouthami Kesagani,https://www.linkedin.com/in/gouthami-kesagani-2a968724a?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAD2uIOEBZF2KZ0E03lguphBarTG8vj-BaoA,Staidlogic is hashtag#hiring! Know anyone who might be interested? hashtag#PegaDataScientist hashtag#CDHAnalytics hashtag#DataScienceInnovation hashtag#PegaTechnologies hashtag#DataDrivenDecisions hashtag#DataInsights hashtag#PegaCDH hashtag#DataScienceExcellence hashtag#MachineLearning hashtag#AdvancedAnalytics,2025-01-25 12:00:00,6,0,1,DataScienceInnovation
4,Gowsia Shaik,https://www.linkedin.com/in/gowsia-shaik-3b1b07292?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEb_1XUByJm-hCvw1BGW-ageS3tae7bNpds,Staidlogic is hashtag#hiring! Know anyone who might be interested?hashtag#PegaDataScientist hashtag#CDHAnalytics hashtag#DataScienceInnovation hashtag#PegaTechnologies hashtag#DataDrivenDecisions hashtag#DataInsights hashtag#PegaCDH hashtag#DataScienceExcellence hashtag#MachineLearning hashtag#AdvancedAnalytics,2025-01-25 12:00:00,2,0,0,DataScienceInnovation
5,Miranda Roosen,https://www.linkedin.com/in/mirandaroosen?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABaOQYBOCybmth6n6wWuCrMBBa6MRO_vCs,I'm hashtag#hiring and looking for a Senior Data Scientist that is up for a new challenge! Do you know anyone who is interested in driving innovation in data science and taking the lead in our data science chapter? Please check this vacancy in our Data Science Innovation Team!hashtag#datascienceinnovation,2024-07-29 12:00:00,39,0,3,DataScienceInnovation
6,HARSHIT BAISLA,https://www.linkedin.com/in/harshit-baisla-986b6231b?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAFEmrPYBiAT2Sppk93YBVK00FZMCW3Czw5M,hashtag#DataScience hashtag#OnlineLearning hashtag#DataScienceInstitute hashtag#BestOnlineCourses hashtag#DataAnalytics hashtag#MachineLearning hashtag#ArtificialIntelligence hashtag#BigData hashtag#DataScienceCertification hashtag#LearnDataScience hashtag#DataScienceTraining hashtag#DataScienceCommunity hashtag#DataScienceEducation hashtag#OnlineDataScience hashtag#DataScienceSkills hashtag#DataScienceCareer hashtag#DataScienceForBeginners hashtag#DataScienceProjects hashtag#DataVisualization hashtag#DataScienceBootcamp hashtag#DataScienceTips hashtag#DataScienceResources hashtag#DataScienceExperts hashtag#DataScienceJobs hashtag#DataScienceCourses hashtag#DataScienceMentorship hashtag#DataScienceWorkshops hashtag#DataScienceNetworking hashtag#DataScienceSuccess hashtag#DataScienceInnovation,2025-01-25 12:00:00,4,4,0,DataScienceInnovation
7,Edify College of IT (PVT) LTD.,https://www.linkedin.com/company/edify-college-of-it/posts,"🚀 𝐓𝐡𝐞 𝐅𝐮𝐭𝐮𝐫𝐞 𝐢𝐬 𝐃𝐚𝐭𝐚-𝐃𝐫𝐢𝐯𝐞𝐧! 🚀Data Science is creating jobs faster than ever, from data analysts to machine learning engineers. 🌐 Now’s the perfect time to explore this dynamic field and future-proof your career!𝐂𝐮𝐫𝐢𝐨𝐮𝐬 𝐚𝐛𝐨𝐮𝐭 𝐚 𝐜𝐚𝐫𝐞𝐞𝐫 𝐢𝐧 𝐝𝐚𝐭𝐚 𝐬𝐜𝐢𝐞𝐧𝐜𝐞? Tell us in the comments! 👇..hashtag#Python hashtag#DataEngineering hashtag#NaturalLanguageProcessing hashtag#ComputerVision hashtag#DataSecurity hashtag#Clustering hashtag#DataScienceInnovation hashtag#DataScienceTools hashtag#DataDrivenDecision hashtag#DataScienceApplications hashtag#DataVisualizationTech",2024-11-26 12:00:00,23,3,0,DataScienceInnovation
8,Naga Kishore Kosuri,https://www.linkedin.com/in/nagakishorek?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAFAqlkQBHDLgrP_DRsvhJGCa1krDR7diPBw,Absolutely spot on! Data Science is like the secret sauce that makes AI so deliciously smart. The future is bright and full of data-driven possibilities! hashtag#DataScience hashtag#AIInnovation,2025-03-26 12:00:00,2,0,0,DataScienceInnovation
9,Gowsia Shaik,https://www.linkedin.com/in/gowsia-shaik-3b1b07292?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEb_1XUByJm-hCvw1BGW-ageS3tae7bNpds,StaidLogic is hashtag#hiring! Know anyone who might be interested?hashtag#PegaDataScientist hashtag#CDHAnalytics hashtag#DataScienceInnovation hashtag#PegaTechnologies hashtag#DataDrivenDecisions hashtag#DataInsights hashtag#PegaCDH hashtag#DataScienceExcellence hashtag#MachineLearning hashtag#AdvancedAnalytics,2024-12-26 12:00:00,2,1,0,DataScienceInnovation
10,Balaji T,https://www.linkedin.com/in/balaji-t-623a1b18?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAO11rsBhKAlyccfSU66uL0HtGtbhCd-MA4,hashtag#Agile hashtag#DataScience hashtag#AgileDataScience hashtag#ProjectManagementhashtag#DataScienceProjects hashtag#AgileDevelopment hashtag#AgileMethodologyhashtag#DataScienceEngagements hashtag#AgileTransformation hashtag#AgileCoachinghashtag#Scrum hashtag#DataDriven hashtag#AgileTeams hashtag#DataScienceTeam hashtag#AgilePracticeshashtag#BusinessAgility hashtag#DataScienceStrategy hashtag#AgileMindsethashtag#ContinuousImprovement hashtag#AgileLeadership hashtag#AgileSuccesshashtag#DataScienceInnovation hashtag#AgileWorkflow hashtag#ITLeadership hashtag#AgileProcess,2024-07-29 12:00:00,2,0,0,DataScienceInnovation
