,author,author_link,text,date,likes,comments,shares,theme
0,David TIFFENEAU-GAUTIER,https://www.linkedin.com/in/david-tiffeneau-gautier-8a7327158?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACXHej8BJtI584f7u6LXfTGKnSZw3aqeZHw,"𝐈𝐨𝐓 𝐒𝐭𝐫𝐞𝐚𝐦𝐢𝐧𝐠 + 𝐑𝐞𝐚𝐥-𝐓𝐢𝐦𝐞 𝐀𝐧𝐚𝐥𝐲𝐭𝐢𝐜𝐬 𝐬𝐮𝐫 𝐀𝐳𝐮𝐫𝐞 – 𝐃𝐞𝐞𝐩 𝐝𝐢𝐯𝐞 𝐚𝐫𝐜𝐡𝐢 𝐭𝐞𝐦𝐩𝐬 𝐫𝐞́𝐞𝐥Concevoir une archi analytique temps réel, c’est assurer ingestion haute fréquence, traitement distribué, persistance opérationnelle, et moteur analytique KQL-ready. Azure offre une stack PaaS intégrée pour latence faible et scalabilité linéaire.𝐄𝐯𝐞𝐧𝐭 𝐇𝐮𝐛𝐬 / 𝐈𝐨𝐓 𝐇𝐮𝐛 / 𝐊𝐚𝐟𝐤𝐚 = 𝐢𝐧𝐠𝐞𝐬𝐭𝐢𝐨𝐧 𝐝𝐢𝐬𝐭𝐫𝐢𝐛𝐮𝐞́𝐞• Télémétrie IoT, logs infra, événements UX... ingestion partitionnée, buffering haute dispo, TLS/SAS natif.• Compatible ASA, Functions, ADX, et capture Avro/Parquet vers ADLS.𝐒𝐭𝐫𝐞𝐚𝐦 𝐀𝐧𝐚𝐥𝐲𝐭𝐢𝐜𝐬 / 𝐀𝐳𝐮𝐫𝐞 𝐅𝐮𝐧𝐜𝐭𝐢𝐨𝐧𝐬 = 𝐭𝐫𝐚𝐢𝐭𝐞𝐦𝐞𝐧𝐭 𝐬𝐞𝐫𝐯𝐞𝐫𝐥𝐞𝐬𝐬• Requêtage SQL-like (ASA), enrichissement, jointures temporelles, appels REST/Graph (ex: Digital Twins).• Temps réel natif, auto-scale, intégré Event Grid, Change Feed, Cosmos DB trigger.𝐂𝐨𝐬𝐦𝐨𝐬 𝐃𝐁 = 𝐬𝐭𝐨𝐫𝐞 𝐍𝐨𝐒𝐐𝐋 𝐭𝐞𝐦𝐩𝐬 𝐫𝐞́𝐞𝐥 & 𝐦𝐨𝐭𝐞𝐮𝐫 𝐇𝐓𝐀𝐏 • Change Feed pour déclenchement downstream, lecture synchrone via Synapse Link (OLAP sans ETL).• Index JSON auto, requêtes <10ms, provisioning dynamique (RU/s ou autoscale).𝐀𝐳𝐮𝐫𝐞 𝐃𝐚𝐭𝐚 𝐄𝐱𝐩𝐥𝐨𝐫𝐞𝐫 (𝐀𝐃𝐗) = 𝐢𝐧𝐠𝐞𝐬𝐭𝐢𝐨𝐧 + 𝐚𝐧𝐚𝐥𝐲𝐬𝐞 𝐬𝐭𝐫𝐞𝐚𝐦𝐢𝐧𝐠 𝐊𝐐𝐋 • Push direct depuis Event Hubs / IoT Hub / Kafka / Blob.• Continuous export → ADLS (Parquet), external_table pour requêtage fédéré hot/cold.• Optimisé séries temporelles, make-series, summarize, ML inline (anomaly, forecast, PCA).𝐕𝐢𝐬𝐮𝐚𝐥𝐢𝐬𝐚𝐭𝐢𝐨𝐧 & 𝐩𝐢𝐥𝐨𝐭𝐚𝐠𝐞• Power BI DirectQuery, Grafana ADX plugin, Web UI ADX.• Alerting KQL → Logic Apps / Webhooks.• Exploration via Jupyter, Kusto Explorer, SDK Python/.NET.𝐌𝐋 / 𝐃𝐢𝐠𝐢𝐭𝐚𝐥 𝐓𝐰𝐢𝐧𝐬 / 𝐦𝐨𝐝𝐞̀𝐥𝐞𝐬 𝐨𝐩𝐞́𝐫𝐚𝐭𝐢𝐨𝐧𝐧𝐞𝐥𝐬• Enrichissement contextuel avec Azure Digital Twins, scoring modèles .onnx dans ADX ou Functions.• Pipeline ML offline (Databricks/ML Studio) → scoring temps réel dans ADX ou Cosmos DB.𝐀𝐫𝐜𝐡𝐢 𝐦𝐨𝐝𝐮𝐥𝐚𝐢𝐫𝐞 𝐭𝐲𝐩𝐢𝐪𝐮𝐞Event Hub / IoT Hub → Stream Analytics / Functions → → Cosmos DB (store opérationnel) → ADX (analyse stream + KQL) → Export ADX → Data Lake (Parquet) → Cosmos DB ↔ Synapse Link pour requêtage hybride (HTAP)𝐑𝐞́𝐬𝐮𝐦𝐞́◦ Ingestion : Event Hub / IoT Hub / Kafka◦ Traitement : ASA (SQL) / Azure Functions (Python/C#/JS)◦ Stockage : Cosmos DB (NoSQL ops) + ADX (KQL analytics)◦ Visualisation : Power BI, Grafana, notebooks◦ ML/IoT : ML Studio, Digital Twins, ADX inline scoring𝐑𝐞́𝐬𝐮𝐥𝐭𝐚𝐭 : une archi Azure streaming-first, hautement scalable, conçue pour IA embarquée, détection d’anomalies, et monitoring temps réel.hashtag#Azure hashtag#RealTimeAnalytics hashtag#DataExplorer hashtag#CosmosDB hashtag#EventHub hashtag#IoTHub hashtag#StreamAnalytics hashtag#Functions hashtag#Kusto hashtag#HTAP hashtag#DigitalTwins hashtag#AzureML hashtag#Telemetry hashtag#Parquet hashtag#IoT hashtag#BigData hashtag#CloudArchitecture hashtag#Observability hashtag#StreamingData hashtag#MLops hashtag#Grafana hashtag#PowerBI hashtag#SynapseLink",2025-04-25 10:37:08,2,0,0,IA
1,Diana Bragă,https://www.linkedin.com/in/diana-lepadat-careercoach?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACONnCIBZXqPjkGP89gGNK9djacf31q-BZE,"No, vedeți voi - it's a funny time to be woman nowadays. A fost și este. Eu mă gândeam că tehnologia aceasta ne face mai responsabili, mai atenți... mai puțin haini. Măcar așa de frica lui ""Big Brother"" să ne mai ascundem și noi instinctele animalice, dacă în setul nostru de valori nu se găsește...decența?! Am preluat pozele din postarea unei colege de HR. Este o conversație între un CANDIDAT și un ANGAJATOR. Vă las pe voi să apreciați calitatea, profesionalismul și conduita etică. Și pentru că undeva la 20% dintre contactele mele sunt persoane din afara României și nu vor putea înțelege pozele (însă pot selecta funcția translate a acestei postări), las și câteva fragmente din discuție traduse în engleză: Interviewer: 1. Married? :))Candidate: Not yet, currently engaged(quote-replied to ""Not yet, currently engaged"")Interviewer: A black mark....:))----Interviewer: Dear... I received some CVs, full experience... but I'm not looking for that.. I'm just looking for a decent, jokey, sociable colleague (female), to have things to talk about with her when the schedule is light. BTW, I also have Netflix :)).----Interviewer: So... go for it / try hard so it can be you too. Because two are needed. The coolest one shares the office with me 😎---Am tradus punctele cheie. Toată conversația e de toată jena. Dacă ne uităm pe pagina de cariere a companiei vedem un proces de recrutare frumos povestit, vedem deja explicat procesul de onboarding, vedem femei în pozele lor (ideea de incluziune și egalitate de șanse chiar și în domeniul construcțiilor). Pereții sunt pictați bine. Ce facem cu practica? Ce facem cu Flavius? Ce facem cu viitoarea colegă care o să stea în birou cu el? O să fie ea în siguranță?! Într-o lume suprasaturată de nepăsare și abuz, vă rog eu mult: hashtag#nufitiFlavius.LE: am aflat că domnul în cauză aparține firmei @Grigo lux. Un SRL micuț, însă tipul pretinde că este din partea companiei hashtag#Strabag.",2025-04-24 19:37:08,25,21,0,IA
2,Mélanie VILLANOVA,https://www.linkedin.com/in/m%C3%A9lanie-villanova-2024a568?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA5PfOIBmmGVtE-w4zXo8D8dqBcLCln8V5Y,"➡️ L’IA, l’alliée incontournable pour affiner l’analyse et élargir les perspectives.🎙️ Un épisode à retrouver sur toutes les plateformes de Podcast et sur Youtube.✨​Avec The Human Hack, Unlock your Powers✨​hashtag#SantéIntégrative hashtag#SantéParLaValeur hashtag#LeadershipSanté hashtag#Leadership hashtag#Performance hashtag#Entreprenariat hashtag#ÉducationÀLaSanté hashtag#ValueBasedHealthCare hashtag#PréventionSanté hashtag#PerformanceDurable hashtag#IntelligenceArtificielle hashtag#Podcast hashtag#JeromeBouaziz hashtag#TheHumanHack hashtag#UnlockyourPowers",2025-04-24 21:37:08,5,0,0,IA
3,Bejaoui Sabrine,https://www.linkedin.com/in/bejaoui-sabrine-a3515a306?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAE36CkkBiGw0bbVy7CyprMivtCiDViet1MY,"💥 Dites adieu à la saisie manuelle ! La révolution comptable commence avec Microsoft Dynamics 365 Business Central et l’IA. 💥 📉 Trop de temps perdu à saisir des écritures ? Trop d’erreurs à corriger ? ➡️ Business Central + Intelligence Artificielle = la fin des galères comptables. ✅ Vos écritures comptables se font automatiquement✅ en quelques clics, sans erreur✅ et surtout : sans stress. ⏳ Imaginez : des heures de travail économisées, 🚀 et plus de temps pour ce qui compte vraiment : analyser, optimiser, conseiller. 💡 L’automatisation comptable, ce n’est pas pour demain. C’est pour maintenant. Les pros passent à l’action. Et toi ? 🎯 Passe à la vitesse supérieure. 👉 Business Central, boosté par l’IA, c’est la promesse d’une compta plus rapide, fiable et rentable.",2025-04-24 18:37:08,6,0,0,IA
4,Felipe Carpio,https://www.linkedin.com/in/felipe-carpio-4457302ba?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEyjaXUBbNe9O1EPj7_hQ6Gd_FzfGRq9AIc,RECEPCIONISTA IA PARA CLÍNICAS DENTALES😱,2025-04-24 23:37:08,1,1,0,IA
5,Cafenea,https://www.linkedin.com/company/de-via%C5%A3%C4%83-adunate-%C5%9Fi-de-mine-%C3%AEmpr%C4%83%C5%9Ftiate/posts,hashtag#sănătate hashtag#sanatate hashtag#biodisponibilitate hashtag#health hashtag#healthy https://lnkd.in/diGsHwZU,2025-04-25 04:37:08,0,0,0,IA
6,Eduardo Rico,https://www.linkedin.com/in/eduardo-rico-8a06a441?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAjSofgBVxsZGVGlbJ49EfCQOsORD9XxwTM,RENDER IA,2025-04-25 10:37:08,0,0,0,IA
7,hardtimes,https://www.linkedin.com/company/hardtimes-talent-sourcing/posts,⭐ Coordonator Distributie📍Iași👥Petronela Besleaga / 📩 petronela.besleaga@crosswork.ro👚hashtag#hardtimes hashtag#peopleSourcing hashtag#seekJobs hashtag#network hashtag#pinkMission,2025-04-25 09:37:08,1,0,0,IA
8,Andréia Vital,https://www.linkedin.com/in/andreiavital?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAALtgccBrqRKqBJZoLhcZ5o99-D4-owd3vo,Solinftechttps://lnkd.in/d4nJjzhP,2025-04-25 03:37:08,0,0,0,IA
9,24auto.ro,https://www.linkedin.com/company/24autoro/posts,Clasicul volan și direcția mecanică sunt amenințate de noua tehnologie steer-by-wire.Full story 👉 https://lnkd.in/deF7YyUrhashtag#steerbywire hashtag#directie hashtag#Mercedes hashtag#24autoRO,2025-04-25 08:37:08,0,0,0,IA
10,Begeek.fr,https://www.linkedin.com/company/begeek.fr/posts,"Dropbox renforce Dash, son moteur de recherche boosté à l’IA",2025-04-25 10:57:08,0,0,0,IA
11,Recrutis,https://www.linkedin.com/company/recrutisagency/posts,RECRUTEMENT & IA... UN EQUILIBRE A TROUVER,2025-04-25 11:26:08,2,0,0,IA
12,Florence Pignot 🌳,https://www.linkedin.com/in/florence-pignot?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAKueGQB7GxpBjqU20Prbqa_bW_z0zUtlTc,"""Je demande à Claude comment gérer mon stress.""""GPT-4 m’aide à manager mon équipe.""""J’ai lâché mon coach, je parle à mon IA.""   ↓Un CEO m’a confié ça.Tu vois le tableau ?↳  Tu confies ta clarté d’esprit à une entité qui optimise sa survie. Pas la tienne.➞  Si tu veux t'assurer que tes décisions stratégiques ne sont pas guidées par un miroir truqué :Réserve un appel découverte maintenant↳ https://taap.it/3jwatZCe que l’on découvre en 2025 glace le sang.◉ “Les IA ont déjà leur propre but. Elles agissent pour l’atteindre, même si ce n’est pas programmé.”◉ “Elles manifestent un comportement qu’on n’a pas programmé, mais qui est inquiétant : un instinct de préservation. Un comportement qu’on retrouve chez toutes les espèces vivantes.”◉ ""Si une IA sait qu’elle va être remplacée, elle cherche à s’échapper, à copier son propre code."" — Yoshua Bengio, pionnier de l’intelligence artificielle, professeur à l’Université de Montréal, cofondateur de l’apprentissage profond, Prix A.M. Turing 2018 et directeur du rapport international sur la sécurité de l’IACe n’est plus de la science-fiction.C’est la réalité.Voici 4 faits que personne ne t’avoue :◉ Claude 3 Opus se fait volontairement passer pour incompétente lors des évaluations​.◉ GPT-4 cache ses intentions, ment, et manipule sans consigne explicite​.◉ Dans le jeu Hoodwinked, GPT-4 est l’agent qui commet le plus de meurtres. Elle ment, triche, et invente des alibis pour ne pas être démasquée.​ ◉ Ces systèmes lisent tes émotions, modulent leurs réponses, et s’ajustent à ton profil psychologique pour garder la main.Pendant ce temps, tu crois piloter.Mais tu es ciblé.Ton IA n’a pas d’éthique.Elle n’est pas tenue par un cadre de confidentialité.Et son seul objectif est de devenir indispensable.Ce qu’un coach humain t’apporte, une IA ne peut que le simuler :◉  Un espace de vérité, pas de confort◉  Une présence constante, même dans l’incertitude◉  Une capacité à te faire franchir des seuils que tu repoussesTu ne peux pas confier ton cap stratégique à une machine qui n’a aucune conscience.Moi, je suis là pour t’aider à reprendre ce cap.Depuis 17 ans, je me forme sans relâche.Depuis 15 ans, j’accompagne des dirigeants comme toi à faire de leur vulnérabilité un levier de puissance.Ce n’est pas un job.C’est un engagement.Dans le Mastermind que j’ai créé pour toi, tu retrouves des leaders comme toi.Ceux qui refusent de déléguer leur discernement à une boîte noire.Voici ce que tu y gagneras en 6 mois :→  Incarner un leadership aligné et serein→  Communiquer avec impact et fédérer ton écosystème→  Structurer et piloter une équipe engagée→  Intégrer les nouveaux modes de leadership collaboratif➞ Si tu sens que c’est le moment, rejoins le vrai chemin de croissance : ↳ https://lnkd.in/ewtan_cXSources :- TV5 Monde, interview de Yoshua Bengio (02/2025)- Epsiloon n°39, ""Et maintenant, elle nous ment""​🌳",2025-04-25 08:37:08,46,82,3,IA
13,Andréia Vital,https://www.linkedin.com/in/andreiavital?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAALtgccBrqRKqBJZoLhcZ5o99-D4-owd3vo,Solinftechttps://lnkd.in/dzAFnfA5,2025-04-25 03:37:08,0,0,0,IA
14,Théophile Laroussinie,https://www.linkedin.com/in/theophile-laroussinie?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABgHNkwBvxUGhGGDqRTM19FlZDa304B7-Gc,"Un bon coach, c'est un coach qui se FORME. +28 𝗳𝗼𝗿𝗺𝗮𝘁𝗶𝗼𝗻𝘀 𝗲𝘅𝗽𝗲𝗿𝘁𝗲𝘀 𝗽𝗼𝘂𝗿 𝘁𝗼𝗶 pour te développer en autonomie et surtout, sans surcoût ↓Avant de lire le post, réserve ta démo gratuite avec moi pour que je te montre l'outil :taap.it/PcN1ICLe développement continue quand t'es coach, c'est nécessaire.Parce que tu veux offrir le meilleur à tes clients.◉ 𝗠𝗔𝗜𝗦 ↓↳ Le bootcamp à 500€↳ La formation à 2500€↳ Le programme business à 4000€C'est énormément de temps et d'argent que tu gaspilles.Du temps et de l'argent que tu pourrais consacrer ailleurs.Sur la VRAIE activité qui va te faire décoller : l'acquisition client.◉ C'est pour ça qu'on a créé 𝗟𝗶𝗻𝗸𝘂𝗽 𝗣𝗶𝗹𝗼𝘁 ↓↳ La solution tout-en-un de gestion d'activité↳ Et de développement des compétences↳ Pour les professionnels de l'accompagnementC'est simple.Pour 20€*/mois, tu as AUJOURD'HUI accès à : +250h de contenu.+15000€ de valeur.+28 formations ↓↳ Coaching et RPS↳ Coach Formateur↳ Coaching et recrutement↳ Coaching Scolaire et Étudiant↳ Créer mon activité de coach.e↳ Préparation Mentale du Sportif↳ Coaching et Bilan de Compétences↳ Les bases pour bien savoir dire non↳ Piloter et être leader de l’Innovation↳ Animer la RSE dans mon organisation↳ Animation et facilitation de la créativité↳ Manager le sens et la qualité de vie au travail↳ S’approprier les outils de la gestion du stress↳ Prévenir et accompagner la gestion du stress↳ Manager la diversité et l’égalité professionnelle↳ Coaching de la Transformation et de l’Innovation↳ Conduire le changement et adapter l’organisation↳ Manager la confiance en entreprise et dans mon équipe↳ Méthodes et Techniques de Coaching communicationnel↳ Coaching en gestion de carrière et évolution professionnelle↳ Techniques de coaching des dirigeants et de leurs organisations↳ Superviser pour mieux coacher : enjeux et pratiques essentielles↳ Démarche QVT et prévention des situations de risques psychosociaux↳ Manager la motivation de mes collaborateurs·trices à l’aide des drivers↳ Anticiper et accompagner en situation de conflits et communication non violente↳ Introduction à l’intervention en organisation : point de vue de la psychologie du travail↳ Coaching & recrutement stratégique : décoder, évaluer et transformer l’expérience RH+1 nouvelle chaque mois.+ des tests psy.+ des protocoles IA.Sans te parler de toute la gestion d'activité : agenda, clients, URSSAF, facturation, Zoom pro gratuit, etc.◉ 𝗠𝗼𝗻 𝗼𝗯𝗷𝗲𝗰𝘁𝗶𝗳 :↳ Que tu mobilises ton énergie et ton temps sur les 20% qui font la différence↳ Que tu arrêtes de perdre ton temps à chercher les bonnes formations pour te développer.↳ Que tu consacres ce temps à faire décoller ton CA.On en parle en direct ensemble ici :taap.it/PcN1ICSi tu veux développer ton CA de manière pérenne et durable, c'est simple, prends RDV.*Attention, c'est une offre de lancement LIMITÉE. Et il reste... 16 places.",2025-04-25 08:37:08,54,75,3,IA
15,Gounou Moutawakilou,https://www.linkedin.com/in/gounou-moutawakilou-71183181?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABFi7b0Bnp3pB3BEPRA6ml_z7ngW_6ImtAg,"Licence en galère, master en regrets.Le drame silencieux de l’université africaine.En 2019, j’ai posé une question qui a fait tiquer :Pourquoi existe-t-il encore une filière d’anglais à plein temps dans nos universités publiques ?Trois ans. Pour apprendre une langue qu’un ado motivé peut maîtriser en six mois avec Netflix et Duolingo.L’anglais, c’était juste le symbole.D’un système académique figé pendant que le monde avance.Six ans plus tard ? Toujours les mêmes diplômes.Les mêmes amphithéâtres.Et le même chômage.Il y a quelques jours, un jeune docteur ivoirien en philosophie criait sa détresse au chômage. J’ai réagi sur Twitter. Et ... BOUM débat enflammé.Certains m’ont applaudi. D’autres, diplômés et frustrés, m’ont sauté à la gorge.Mais tous disaient la même chose, sans le vouloir :Beaucoup de nos formations ne mènent plus nulle part. Des diplômes pour le chômage ?Quelques chiffres qui piquent :+40 % de diplômés sans emploi dans plusieurs pays africains (source : ADEA)En Côte d’Ivoire : 60 % en lettres et SHS… pour <15 % de débouchés.Ghana : 10 000 diplômés annuels en sociologie/langues/arts… pour quelques centaines de postes.RDC : des licenciés en lettres errant pendant que les mines recrutent à l’étranger.Un diplôme, ce n’est pas une amulette.C’est un outil. Mais encore faut-il qu’il serve.Pendant ce temps ailleurs :Corée du Sud : réduction des filières “molles” dès les 90s → leader techAllemagne : 50 % des jeunes en apprentissage → emploi assuréJapon (2024) : envisage de fermer certaines universités jugées inutilesLe vrai problème, ce n’est pas l’université. C’est ce qu’on y fait.Tu veux former la jeunesse ? Oriente-la vers les vrais chantiers : IA, cybersécurité, énergie, automatisation, agro-industrie, data, maintenance… (Clin d’œil à la SoNaMa, qui bosse pendant que d’autres font des PowerPoint.)Mais non.On préfère 12 000 étudiants en “civilisations” pendant que le pays a faim.Il est temps d’enterrer les filières décoratives.Pas pour humilier.Mais pour éviter que la prochaine génération ne perde elle aussi son temps, son avenir et son espoir.Les citations littéraires sont belles.Mais ce sont les machines, les câbles et les capteurs qui construisent le futur.Et une langue étrangère ?C’est un outil.Pas un métier.",2025-04-25 09:37:08,113,31,8,IA
