,author,author_link,text,date,likes,comments,shares,theme
0,Hrishva Rangani,https://www.linkedin.com/in/hrishvarangani?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAD4hIaABFAk4M2Q_AI0FfnY8VvvReORkkaQ,"Finance: The Language of Opportunities In a world where every decision seems to have a price tag, finance is the invisible hand guiding us. Whether you’re a business leader analyzing investments or someone planning a vacation, understanding finance empowers you to make informed choices.But here's the truth: finance isn’t just numbers, it’s a story of value, risk, and potential. It’s the art of allocating resources, the science of forecasting, and sometimes, the thrill of calculated risks.Why it matters now more than ever:1) Global markets are evolving faster than ever, driven by tech innovations like blockchain and AI.2) Financial literacy is no longer optional it’s essential for personal and professional growth.3) Investing isn’t just for Wall Street; it’s for anyone with a dream of building wealth sustainably.hashtag#Finance hashtag#Investing hashtag#FinancialLiteracy hashtag#WealthManagement",2024-11-26 12:00:00,5,1,0,finance
1,Romuald Wadagni,https://www.linkedin.com/in/wadagniromuald?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAAPLHIBKxsyxJ_XmO32IzGVzWyehJpkZ5I,"Un tournant historique pour le Bénin 🇧🇯 et le climat Ce 23 avril à Washington, en marge des Assemblées de printemps du International Monetary Fund et de The World Bank, nous avons franchi une étape majeure avec la signature d’un Mémorandum-Cadre inédit sur le financement climatique, en présence de nos partenaires internationaux de premier plan.Ce cadre, signé aux côtés de Marie-Chantal Uwanyiligira, Directrice de la Banque mondiale pour le Bénin, la Côte d’Ivoire, la Guinée et le Togo, et de Olivier Buyoya, Directeur régional de la SFI (IFC - International Finance Corporation) pour l’Afrique de l’Ouest, ainsi que des représentants de la BAD, de l’AIIB, du Fonds OPEC et de l’Union européenne, marque le début d’une collaboration renforcée et structurée en matière de politique climatique.Ce partenariat vise à :•⁠ ⁠renforcer nos institutions et capacités techniques,•⁠ ⁠mobiliser des financements innovants, publics et privés à grande échelle,•⁠ ⁠mettre en œuvre des projets à fort impact, en ligne avec nos Contributions Déterminées au niveau National (CDN) et les Objectifs de Développement Durable (ODD),•⁠ ⁠promouvoir la transparence et la redevabilité dans la gestion des ressources climatiques.Je remercie chaleureusement nos partenaires pour leur confiance et leur engagement. Ensemble, nous traçons une voie ambitieuse pour un Bénin plus vert, plus résilient et porteur d’opportunités pour les générations futures.hashtag#Bénin hashtag#FinanceClimatique hashtag#DéveloppementDurable hashtag#BanqueMondiale hashtag#IFC hashtag#ODD——A historic milestone for Benin 🇧🇯 and climate actionOn April 23rd in Washington, D.C., on the sidelines of the IMF and World Bank Spring Meetings, Benin took a bold step forward by signing a groundbreaking Climate Finance Framework Memorandum with key international development partners.This framework—signed alongside Marie-Chantal Uwanyiligira, World Bank Country Director for Benin, Côte d’Ivoire, Guinea, and Togo, and Olivier Buyoya, IFC - International Finance Corporation Regional Director for West Africa, as well as representatives of the AfDB, AIIB, OPEC Fund, and the European Union—establishes a coordinated platform to align climate policies with macroeconomic planning and unlock large-scale financing.Together, we aim to: •	strengthen institutional capacity to design and implement climate-resilient projects and policies, •	mobilize public and private capital through innovative instruments, including green bonds and Article 6 mechanisms, •	enhance transparency, accountability, and efficiency in climate finance management.I extend my sincere appreciation to our partners for their trust and continued support. With this shared vision, we are laying the foundation for a greener, more resilient, and inclusive Benin, where climate ambition drives sustainable economic transformation.hashtag#Benin hashtag#ClimateFinance hashtag#SustainableDevelopment hashtag#WorldBank hashtag#IFC hashtag#GreenEconomy hashtag#ResilientGrowth hashtag#GreenGrowth hashtag#SpringMeetings hashtag#WBGMeetings",2025-04-25 09:17:51,482,42,17,finance
2,Marine KODJO,https://www.linkedin.com/in/marine-kodjo?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEwsAWkBmnSgTq4Pya7ff82yv3fwid2SBtQ,"📩 ""𝐍𝐨𝐮𝐬 𝐚𝐯𝐨𝐧𝐬 𝐛𝐢𝐞𝐧 𝐫𝐞𝐜̧𝐮 𝐯𝐨𝐭𝐫𝐞 𝐜𝐚𝐧𝐝𝐢𝐝𝐚𝐭𝐮𝐫𝐞, 𝐦𝐚𝐢𝐬 𝐜𝐞𝐥𝐥𝐞-𝐜𝐢 𝐧’𝐚 𝐩𝐚𝐬 𝐞́𝐭𝐞́ 𝐫𝐞𝐭𝐞𝐧𝐮𝐞. 𝐍𝐨𝐮𝐬 𝐯𝐨𝐮𝐬 𝐫𝐞𝐦𝐞𝐫𝐜𝐢𝐨𝐧𝐬 𝐝𝐞 [...]""𝐌𝐨𝐢 : 👇------hashtag#SilenceRH hashtag#CandidatureNonRetenue hashtag#RechercheAlternance hashtag#Finance hashtag#Audit hashtag#HumourLinkedIn hashtag#Finance hashtag#Audit hashtag#SilenceRadio",2025-04-25 09:17:51,1,0,0,finance
3,Ruth .,https://www.linkedin.com/in/aegiofin?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACH8oRoBC1fWlPoB4yq9Bf_lFcBjUH2oHT8,"Dear Finance professionals,Beberapa lowongan pekerjaan di minggu ini:Account Payable Specialist > t.me/aegiofin/18477Finance & Accounting Officer > t.me/aegiofin/18505Account Receivable Staff > t.me/aegiofin/18515Juga posisi staf/senior lainnyaGabung AEGIO Finance Hub Linkedin Group di https://lnkd.in/g2bjwMrAuntuk info lowongan acc, fin, tax lebih banyak!AEGIO Finance Hubhashtag#aegiofin",2025-04-25 07:17:51,0,0,0,finance
4,Jakub Dering,https://www.linkedin.com/in/kuba-dering?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABn6tn0BRtX5671SiC0wH0J6YG2xmhV1GHk,"Performance JOB(s) alert ‼️ ‼️ 4 new performance roles from Artur with expertise in - Frontend (CWV, Lighthouse)- NeoLoad and LoadRunner - Finance ( JMeter, Loadrunner, APM)- Performance testing in CI (DevOps)Contact Artur Dudek, schedule a meeting and tell him I sent you. These roles are based in Poland but SII might have some openings available in India and US.",maintenant ,0,0,0,finance
5,Ismar Ramadhan,https://www.linkedin.com/in/ismarramadhan?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACrhdUMBtLedPpAsmnpwEvduSisrrSYEaYI,"Two days at Adira Finance through the Indonesia Talent Swap program from PT Bank Danamon Indonesia, Tbk. felt short, but packed with meaningful experiences.From exchanging ideas on Human Capital strategies to sharing warm traditions (and delicious meals!), this journey reminded me how powerful cross-entity collaboration within the MUFG Group can be. It's not just about benchmarking, it’s about growing together.Thank you Pak Awal Diyananda, SH, MH (Advokat), mba Khoirul Khotimah, Nurul Fitriani and other Gardiras for the hospitality and valuable insights. Can’t wait to see where the next stop leads!hashtag#IndonesiaTalentSwap hashtag#MUFGGroup hashtag#Danamon hashtag#AdiraFinance hashtag#LetsGROW hashtag#Collaboration hashtag#HumanCapital",2025-04-25 06:17:51,6,0,0,finance
6,Beata Janota,https://www.linkedin.com/in/beata-janota-6aaa212?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAACBxKIBqmRy17qeFiXg_0CUucAOoSLcSXg,"🔍 Szukasz partnera rekrutacyjnego, który naprawdę rozumie rynek i potrzeby Twojej firmy? Cześć, mam na imię Beata i od ponad 10 lat pomagam firmom (zarówno w Polsce, jak i za granicą) w pozyskiwaniu najlepszych specjalistów i menedżerów.Specjalizuję się w rekrutacjach z obszarów: ✅ IT (JavaScript, Python, Java, QA, DevOps, UX/UI i wiele innych) ✅ Finanse i księgowość ✅ Sprzedaż, marketing ✅ HR i administracjaW pracy wykorzystuję nowoczesne narzędzia sourcingowe i sprawdzone metody selekcji, które pozwalają mi skutecznie docierać do kandydatów pasujących do Twojej firmy – nie tylko kompetencyjnie, ale też kulturowo.🤝 Pracuję w modelu Success Fee, oferuję gwarancję na kandydatów, a każdą współpracę traktuję partnersko i z pełnym zaangażowaniem.Jeśli chcesz porozmawiać o tym, jak mogę pomóc Twojej firmie rosnąć dzięki skutecznej rekrutacji – zapraszam na krótkie spotkanie online lub rozmowę telefoniczną.📩 Napisz do mnie lub odwiedź: www.forcerecruitment.pl 📞 578 278 111hashtag#rekrutacja hashtag#headhunting hashtag#recruitment hashtag#ITrecruitment hashtag#freelancer hashtag#forceRecruitment🔍 Looking for a recruitment partner who truly understands the market and your business needs? Hi, I’m Beata — for over 10 years I’ve been helping both Polish and international companies find the right people to grow their teams.I specialize in recruitment for: ✅ IT (JavaScript, Python, Java, QA, DevOps, UX/UI and more) ✅ Finance & Accounting ✅ Sales & Marketing ✅ HR & AdministrationI use modern sourcing tools and proven selection methods to find candidates that not only meet the job requirements — but also fit your company culture.🤝 I work on a success fee basis, provide guarantees for placed candidates, and treat every collaboration as a long-term partnership.If you're interested in how I can support your growth through strategic hiring, let’s talk! I’d be happy to set up a short call.📩 DM me or visit: www.forcerecruitment.pl 📞 +48 578 278 111hashtag#recruitment hashtag#headhunter hashtag#ITrecruitment hashtag#freelanceheadhunter hashtag#ForceRecruitment hashtag#hiringpartner",2025-04-25 11:17:51,0,0,1,finance
7,Journaliste TV Finance,https://www.linkedin.com/in/r%C3%A9daction-tv-finance?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACC7uRABx2Ha5GJy7BOyqEifyFoy6mA0U2o,"📺hashtag#CAC40 : On achète. Avec @QuesadaAntoine, trader et coach chez @aqts_fr La vidéo complète sur @TV_Finance➡️ https://buff.ly/VgpJhT5 hashtag#CAC40 hashtag#NASDAQ hashtag#Bitcoin hashtag#forex hashtag#index hashtag#bourse hashtag#trading hashtag#TVFinance",2025-04-25 11:22:51,0,0,0,finance
8,Maxence Lopez ☁️ Aptenia,https://www.linkedin.com/in/maxence-lopez-%E2%98%81%EF%B8%8F-aptenia-888960210?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADWI1ugBbzYlLM-HrWJaOi2j7aj-QORNB2I,"❗ ❕ Opportunités SAP en 𝐅𝐫𝐞𝐞𝐥𝐚𝐧𝐜𝐞/𝐏𝐨𝐫𝐭𝐚𝐠𝐞 𝐒𝐚𝐥𝐚𝐫𝐢𝐚𝐥 ❕ ❗Hello la sphère SAP,Nouveaux besoins freelance ouverts chez Aptenia, pour nos prestigieux clients :𝗣𝗮𝗿𝗶𝘀, 𝗜𝗹𝗲 𝗱𝗲 𝗙𝗿𝗮𝗻𝗰𝗲 🗼 :▶ Expert SAP LBN GTT / SAP SAC - Projet S/4 - Remote▶ Expert SAP SD (Expert process export) - Remote▶ 2 Experts SAP MDG - Projet S/4 - Remote▶ Expert SAP PM/CS - Remote𝗗𝗶𝗷𝗼𝗻, 𝗕𝗼𝘂𝗿𝗴𝗼𝗴𝗻𝗲-𝗙𝗿𝗮𝗻𝗰𝗵𝗲-𝗖𝗼𝗺𝘁𝗲́ 🍷 :▶ Expert SAP PP/DS - Projet S/4 - Remote𝗚𝘂𝗮𝗱𝗲𝗹𝗼𝘂𝗽𝗲 🏝️ :▶ Expert SAP S/4HANA Finance - SAP S/4HANA On-Prem - Remote𝗔𝗶𝘅-𝗲𝗻-𝗣𝗿𝗼𝘃𝗲𝗻𝗰𝗲, 𝗣𝗔𝗖𝗔 ☀️ :▶ Consultant Senior SAP FICO - Roll Out SAP S/4HANA▶ Chef de projet SIRH/Successfactors - Implémentation SF▶ Chef de projet SI R&D PLM▶ Chef de projet SAP - Coordination transverse FICO & SDMM et intégrateur𝗕𝗿𝘂𝘅𝗲𝗹𝗹𝗲𝘀, 𝗕𝗲𝗹𝗴𝗶𝗾𝘂𝗲 🏛️ :▶ Consultant SAP ISU - Projet S/4▶ Consultant SAP MM/SD/BRIM - Projet S/4𝗖𝗼𝗻𝘁𝗮𝗰𝘁 :📩 m.lopez@aptenia.fr📞 07 43 39 24 23Sonia Mannina Océane M. Ruby Chandley Y. Mannina Alexis Cutivelhashtag#SAP hashtag#Hiring hashtag#S4 hashtag#SD hashtag#MM hashtag#FI hashtag#PPDS hashtag#ISU hashtag#BRIM hashtag#Successfactors-------------------------------------------------------------------------------------𝗘𝗻𝘃𝗶𝗲 𝗱𝗲 𝗻𝗲 𝗿𝗶𝗲𝗻 𝗺𝗮𝗻𝗾𝘂𝗲𝗿 ? 📲 Nos annonces sont aussi partagées sur notre communauté WhatsApp, juste ici : https://lnkd.in/eTnQUcEw",2025-04-25 10:17:51,13,3,4,finance
9,ESHAC-EDesign,https://www.linkedin.com/company/eshac-edesign/posts,hashtag#TokenisationImmobilière hashtag#FiscalitéCrypto hashtag#BlockchainImmobilier hashtag#RevenusTokenisés hashtag#CryptoInvestissement hashtag#PlusValueDigitale hashtag#InvestisseurAverti hashtag#StratégieFiscale hashtag#ImpôtSurCrypto hashtag#ActifsNumériques hashtag#PropertyInvestment hashtag#Immobilier hashtag#Crowdfunding hashtag#PropertyDevelopment hashtag#InvestissementImmobilier hashtag#Investisseurs hashtag#DiasporaAfricaine hashtag#RealEstate hashtag#EDCAA hashtag#InvestirEnAfrique hashtag#BuildingDreams hashtag#MarchéImmobilier hashtag#Durabilité hashtag#Innovation,2025-04-25 08:17:51,0,0,0,finance
