,author,author_link,text,date,likes,comments,shares,theme
0,Benjamin Ejzenberg,https://www.linkedin.com/in/benjaminejzenberg?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAj58zYBTN8loEzvrFJhh-16iFZ8gnfPSGU,🎉 Découvrez mon nouveau tutoriel pour débuter avec Power Query !Vous commencez avec Power BI ou Excel et cherchez une méthode simple pour automatiser vos données ? Ce cas pratique pas à pas est parfait pour apprendre les bases tout en pratiquant.📂 Fichier d'exercices fourni pour suivre facilement chaque étape.Idéal pour les débutants qui veulent gagner en confiance rapidement.À lire et à partager sans modération ! 😊,2024-11-26 12:00:00,186,25,14,tutoriel
1,Gregory Delmas,https://www.linkedin.com/in/gregory-delmas-webdesigner?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAFIPNk8BBSGcg1J67zJFj7OFFxxdYhMhYYw,Un bon tutoriel pour améliorer sa fiche Google MY BUSINESS Thomas Lopes,2025-03-26 12:00:00,5,1,0,tutoriel
2,We Are Tech Africa,https://www.linkedin.com/company/we-are-tech-africa/posts,hashtag#Tutoriel : Fonctionnement de l'Application Koree 📱💡hashtag#WeAreTech,2024-12-26 12:00:00,19,0,0,tutoriel
3,Charlotte Jardat,https://www.linkedin.com/in/charlotte-jardat?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAr9r3cBCLdntGdNg2JCvDB2FlyFJi-DHqE,"Tutoriel American Express sur leur plateforme @Work hashtag#Voix souriante, explicative, corporate et douce 🎙️ Merci à Absolute Translations pour leur confiance ⚡ 🚀 hashtag#voixoff hashtag#VoiceOver hashtag#homestudio hashtag#elearning hashtag#corporate🖥 www.charlottevoixoff.com🎧 https://lnkd.in/dwjkWNg2🎧 https://lnkd.in/d6NNwbKx🎧 https://lnkd.in/dUivcC8C",2024-11-26 12:00:00,24,6,0,tutoriel
4,Cézame Music Agency,https://www.linkedin.com/company/cezame-music-agency/posts,[CÉZAME TUTORIALS] 🤝🇫🇷 Optimisez la qualité de vos choix musicaux et gagnez du temps en consultant nos tutoriels : https://lnkd.in/eCeeNzSUCezame Search Engine : le moteur de recherche musical le plus novateur et performant intégrant l’IA.🇬🇧 Optimise the quality of your music selections and save time by consulting our tutorials: https://lnkd.in/eCeeNzSUCezame Search Engine: the most innovative and efficient music search engine integrating AI.Motion Design : Grégoire Bécothashtag#cezametutorials hashtag#newtutorials hashtag#searchengine hashtag#IA hashtag#sync hashtag#syncdifferent,2024-11-26 12:00:00,24,0,10,tutoriel
5,Benjamin Ejzenberg,https://www.linkedin.com/in/benjaminejzenberg?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAj58zYBTN8loEzvrFJhh-16iFZ8gnfPSGU,"💡 Comment mettre en évidence des lignes dans Power BI ?Je montre comment créer un tableau interactif capable de mettre en surbrillance les lignes en dessous d'une certaine valeur, le tout de manière dynamique grâce à un segment et du DAX. 🔥Résultat ? Un tableau visuellement impactant qui attire immédiatement l'attention sur les données importantes.Cette technique est idéale pour rendre vos rapports plus interactifs et faciliter l'analyse des données critiques.💡 Que pensez-vous de ce nouveau format de tutoriel vidéo ? vous validez ? on en enregistre d'autres ? j'attends vos retours !",2024-11-26 12:00:00,211,29,16,tutoriel
6,10000 CODEURS,https://www.linkedin.com/company/10000codeurs/posts,"SE FORMER et PREPARER la certification Hedera avec Dar Blockchain  et The Hashgraph Association- Module 1 : Introduction au Web3 et Hedera- Module 2 : Architecture du réseau Hedera- Module 3 : Concepts clés de hedera- Module 4 : Fondamentaux du Développeur hedera- Module 5 : Créer un réseau local Hedera- Module 6 : Hedera Token Service - Jeton Fongible et Non fongible- Module 7 : Service de consensus Hedera- Module 8 : Atelier dApp- Module 9 : Service de contrat intelligent Hedera- Module 10 : Relay JSON-RPC- Module 11 : InterroperabilitéModératrice : Gbadié Elodie LUE, Architecte IT et Lead communauté Blockchain de 10.000 Codeurs.Invités :- Talel Ben Ghorbel : Project Manager Dar Blockchain - Mohamed Mnif : Co-founder @ CEO Dar Blockchain - Douglas Mbiandou : Président fondateur 10000 CODEURS- Firas Belhiba , Tech Lead Dar Blockchain- anas hammou, Développeur Blockchain certifié Hedera Dar BlockchainDate : Mercredi 15/01Heure : 20h GMT (21h France)En amont et en aval, faîtes vos premiers sur la Blockchain avec les 10 premiers tutoriels Blockchain de ""10.000 Codeurs"" https://lnkd.in/dbmwucJjcc Kevin Nzeng Essimengane Jean Luc Nta, PMP® Hanane Wahibi Samir Messaoudi Abdoulaye Dicko Aimé BAMO BROU KONAN CHARLES Jean TA-AMA Micheline Boutrin Deroire✨ PAS à PAS DIGITAL Samuel VICKO Owen Simonin Sessinou Borel KINNOUME Djochrist Kuma-Kuma Oluwa-Fèmi MOUMOUNI Oumou Sow Adama SANE Cedric NTCHOUERE LEBANI Pacifique NKENGURUTSE Jorel Guedou",2025-01-25 12:00:00,79,11,15,tutoriel
7,PHILIPPE LAFAGES DIAMANT,https://www.linkedin.com/in/philippe-lafages-diamant-b9825186?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABIwmmQB3l69VKn3UruF8v5GqJ1tjWXr2LQ,"CRÉE 🔥GRATUITEMENT🔥 TON CENTRE COMMERCIAL EN LIGNE DANS NOTRE ECOSYSTEM COMME CHEZ AMAZON🔥🔥pour RECEVOIR nos TUTORIELS 💎💎👇👇ICI : https://lnkd.in/gCffp5DA ONE FOCUS & GoTel : +33 781 724 213L’INTELLIGENCE ARTIFICIELLE au SERVICE de ton☝️ENTREPRISE☝️",2024-12-26 12:00:00,1,0,0,tutoriel
8,JustGeek,https://www.linkedin.com/company/justgeek/posts,🖥️ Créer une machine virtuelle avec VMware Workstation Pro👉 https://lnkd.in/e9MfdgzAhashtag#VMware hashtag#WorkstationPro hashtag#Tutoriel hashtag#VM hashtag#MachineVirtuelle,2025-03-26 12:00:00,1,0,0,tutoriel
9,Clément Deschinkel,https://www.linkedin.com/in/cl%C3%A9ment-deschinkel?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEQWScIBVr6TNp2uD8z7F5-Y0VnvkqdwLrU,📸 8 EN 1 🌊 Un beau tutoriel pour un backloop📍 DOSSENClément Deschinkel Photographie - Tous droits réservés hashtag#bretagne hashtag#bzh hashtag#beachlife hashtag#picture hashtag#art hashtag#artist hashtag#photo hashtag#finistere hashtag#photography hashtag#lightroom hashtag#photographer hashtag#finisteretourisme hashtag#landscape hashtag#paysduleon hashtag#daytrip hashtag#landscapelovers hashtag#sky hashtag#santec hashtag#fog hashtag#surf hashtag#surfing hashtag#windsurfing hashtag#windsurf hashtag#passion hashtag#artiste hashtag#pictureday hashtag#photographylife hashtag#photoshoot hashtag#tirage hashtag#chronophotographie,2025-03-26 12:00:00,8,0,0,tutoriel
